V,I
-75,-3.38
-89,-3.3
-97,-3.29
-106,-3.24
-117,-3.19
-132,-3.11
-145,-3.04
-157,-3
-183,-2.87
-195,-2.81
-201,-2.78
-227,-2.67
-290,-2.32
-313,-2.28
-359,-2.09
-378,-2
-424,-1.82
-496,-1.55
-534,-1.37
-576,-1.23
-621,-1.09
-656,-0.98
-693,-0.86
-726,-0.78
-757,-0.68
-809,-0.547
-842,-0.476
-864,-0.434
-900,-0.363
-936,-0.3
-977,-0.234
-1035,-0.168
-1053,-0.147
-1088,-0.116
-1127,-0.084
-1203,-0.0338
-1235,-0.0168
-1243,-0.0126
-1266,-0.002
-1270,0.0002
-1264,-0.003
