Set,Run #1,Run #1,Run #1
Angle deg (units),Date and Time,Time (s),Relative Intensity (%)
110,03/26/2019 03:39:56 pm,54.200,-6.91
112,03/26/2019 03:40:13 pm,71.900,-6.96
114,03/26/2019 03:40:55 pm,113.700,-6.86
116,03/26/2019 03:41:15 pm,133.850,-6.49
118,03/26/2019 03:41:27 pm,145.050,-6.69
120,03/26/2019 03:41:40 pm,158.200,-5.97
122,03/26/2019 03:41:55 pm,173.550,-4.10
124,03/26/2019 03:42:12 pm,190.850,8.22
126,03/26/2019 03:42:27 pm,205.300,-2.94
128,03/26/2019 03:42:40 pm,218.250,-5.98
130,03/26/2019 03:42:51 pm,229.550,-6.00
132,03/26/2019 03:43:00 pm,238.800,-5.46
134,03/26/2019 03:45:40 pm,398.450,-5.75
136,03/26/2019 03:48:48 pm,586.100,-5.05
138,03/26/2019 03:49:13 pm,611.650,-4.90
140,03/26/2019 03:49:26 pm,624.300,-5.24
142,03/26/2019 03:49:40 pm,638.550,-4.84
144,03/26/2019 03:50:22 pm,680.450,-5.24
146,,,
148,,,
150,,,
